"avgtemp","name","category","n"
5.692420331382863,"Zähringen","6",17
6.600859702329451,"Weingarten","2",1474
7.567574904551818,"Neuburg","6",29
5.990017513807795,"Wiehre","3",4166
5.692420331382863,"Zähringen","5",8
7.567574904551818,"Neuburg","4",801
4.482094385054756,"Vauban","2",1150
5.083970655027811,"Rieselfeld","4",854
5.083970655027811,"Rieselfeld","5",37
6.290500411463986,"Betzenhausen","5",116
6.002311772310802,"Haslach","1",8171
5.305620529605578,"Kappel","2",621
5.692420331382863,"Zähringen","4",1152
5.941894642410312,"Altstadt","2",3748
6.055433970663477,"Mooswald","6",38
5.941894642410312,"Altstadt","1",11599
6.600859702329451,"Weingarten","3",2031
5.692420331382863,"Zähringen","7",19
5.083970655027811,"Rieselfeld","1",7640
5.990017513807795,"Wiehre","5",33
3.5369929900089474,"Waldsee","1",2049
7.567574904551818,"Neuburg","2",2697
7.567574904551818,"Neuburg","1",9847
6.290500411463986,"Betzenhausen","6",165
7.567574904551818,"Neuburg","3",1525
5.305620529605578,"Kappel","3",617
5.356563000085484,"Oberau","6",100
6.002311772310802,"Haslach","6",92
6.600859702329451,"Weingarten","4",1998
4.482094385054756,"Vauban","3",268
6.055433970663477,"Mooswald","3",1360
4.482094385054756,"Vauban","5",5
6.055433970663477,"Mooswald","1",10217
4.482094385054756,"Vauban","4",695
5.990017513807795,"Wiehre","4",2254
6.290500411463986,"Betzenhausen","4",3221
5.083970655027811,"Rieselfeld","3",1851
3.5369929900089474,"Waldsee","2",432
5.356563000085484,"Oberau","2",1679
6.290500411463986,"Betzenhausen","3",3339
6.223540172775439,"Littenweiler","2",1179
6.223540172775439,"Littenweiler","1",3030
6.36225343028092,"Herdern","7",119
5.356563000085484,"Oberau","5",22
7.567574904551818,"Neuburg","5",12
6.055433970663477,"Mooswald","5",34
6.290500411463986,"Betzenhausen","2",2274
5.990017513807795,"Wiehre","1",20493
6.930580255780212,"Stühlinger","3",1734
3.5369929900089474,"Waldsee","4",59
6.36225343028092,"Herdern","5",102
4.482094385054756,"Vauban","1",4153
7.567574904551818,"Neuburg","7",6
6.290500411463986,"Betzenhausen","7",36
5.356563000085484,"Oberau","4",1693
6.36225343028092,"Herdern","4",1773
5.692420331382863,"Zähringen","1",6696
5.305620529605578,"Kappel","4",365
5.692420331382863,"Zähringen","3",1044
3.5369929900089474,"Waldsee","3",597
6.36225343028092,"Herdern","2",3231
6.930580255780212,"Stühlinger","7",2
6.600859702329451,"Weingarten","1",9619
6.36225343028092,"Herdern","3",4220
6.930580255780212,"Stühlinger","6",2
6.002311772310802,"Haslach","3",1626
6.290500411463986,"Betzenhausen","1",15912
5.356563000085484,"Oberau","7",2
6.002311772310802,"Haslach","4",1335
6.36225343028092,"Herdern","1",17061
6.930580255780212,"Stühlinger","1",8176
5.990017513807795,"Wiehre","6",99
5.305620529605578,"Kappel","1",2790
5.692420331382863,"Zähringen","2",1446
6.930580255780212,"Stühlinger","4",969
6.36225343028092,"Herdern","6",167
5.941894642410312,"Altstadt","6",11
5.941894642410312,"Altstadt","3",1391
5.083970655027811,"Rieselfeld","2",1517
6.600859702329451,"Weingarten","5",4
5.990017513807795,"Wiehre","2",4523
5.990017513807795,"Wiehre","7",54
6.002311772310802,"Haslach","2",1258
5.083970655027811,"Rieselfeld","6",31
6.055433970663477,"Mooswald","2",1142
5.941894642410312,"Altstadt","5",13
5.356563000085484,"Oberau","1",10413
6.223540172775439,"Littenweiler","3",184
5.356563000085484,"Oberau","3",2391
4.482094385054756,"Vauban","6",1
6.055433970663477,"Mooswald","4",1659
5.941894642410312,"Altstadt","4",828
6.002311772310802,"Haslach","5",17
6.930580255780212,"Stühlinger","2",1663
6.002311772310802,"Haslach","7",74
